,names,ratings,locations,distances,latitude,longitude,price,popularity,total_photos,total_ratings
0,La Taqueria Pinche Taco Shop,8.5,"2450 Yukon St (at W Broadway), Vancouver BC V5Y 0A4",164,49.262487,-123.114397,2.0,0.9206048073457154,283.0,366.0
1,Whole Foods,8.5,"510 8th Ave W (at Cambie St), Vancouver BC V5Z 1C5",182,49.262487,-123.114397,3.0,0.9968507522149077,431.0,364.0
2,Elysian Coffee Broadway,8.2,"590 Broadway W (at Ash St), Vancouver BC V5Z 1E9",225,49.262487,-123.114397,1.0,0.9569918992240709,171.0,199.0
3,Menchies Frozen Yogurt,8.2,"2315 Cambie St (at W 7th Ave), Vancouver BC V5Z 2T9",258,49.262487,-123.114397,1.0,0.9200166948075355,225.0,69.0
4,Cactus Club Cafe Broadway + Ash,7.6,"575 West Broadway (at Ash St), Vancouver BC V5Z 1E6",232,49.262487,-123.114397,3.0,0.9830965073703781,107.0,96.0
5,Caffe Cittadella,8.6,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",336,49.262487,-123.114397,2.0,0.9546204776991519,137.0,81.0
6,Indian Roti Kitchen,8.4,"2961 Cambie St, Vancouver BC V5Z 2V7",396,49.262487,-123.114397,2.0,0.9053897668418357,4.0,33.0
7,Milano Coffee,8.8,"156 8th Ave W (btwn Columbia & Manitoba St), Vancouver BC V5Y 1N2",430,49.262487,-123.114397,2.0,0.9766652121947981,139.0,123.0
8,Passion8 Dessert Cafe,8.0,"3010 Cambie St, Vancouver BC V5Z 2V9",454,49.262487,-123.114397,1.0,0.9468611864696174,28.0,32.0
9,The Beaumont Studios,8.2,"316W 5th Ave W (near Alberta St), Vancouver BC V5Y 1J5",509,49.262487,-123.114397,,0.9728329950105291,35.0,20.0
10,Mister,8.8,"1141 Mainland St (btwn Davie & Helmcken), Vancouver BC V6B 5P2",66,49.274566,-123.121817,1.0,0.9652444461307886,109.0,85.0
11,The Flying Pig Yaletown,8.8,"1168 Hamilton St (btwn Davie & Helmcken St), Vancouver BC V6B 2S2",83,49.274566,-123.121817,3.0,0.9588510936996073,372.0,381.0
12,Minami Restaurant,9.0,"1118 Mainland St (at Helmcken St.), Vancouver BC V6B 2T9",110,49.274566,-123.121817,3.0,0.9346246514010358,569.0,326.0
13,Rodney's Oyster House,8.7,"1228 Hamilton St (at Drake St), Vancouver BC V6B 6L2",114,49.274566,-123.121817,2.0,0.958509609000019,463.0,291.0
14,Blue Water Cafe + Raw Bar,9.1,"1095 Hamilton St (at Helmcken St), Vancouver BC V6B 5T4",185,49.274566,-123.121817,4.0,0.9664775853237465,381.0,317.0
15,Angus T,8.9,"1036 Mainland St, Vancouver BC V6B 2T4",208,49.274566,-123.121817,1.0,0.9421373147919789,52.0,26.0
16,Small Victory Bakery,8.9,"1088 Homer St (btwn Helmcken & Nelson), Vancouver BC V6B 2W9",219,49.274566,-123.121817,1.0,0.9844624461687314,215.0,268.0
17,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",222,49.274566,-123.121817,4.0,0.9513574016808636,29.0,34.0
