,names,ratings,locations,latitude,longitude
0,The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.262487,-123.114397
1,WA-2!,5.0,1795 Powell Street,49.262487,-123.114397
2,La Taqueria Food Truck,5.0,,49.262487,-123.114397
3,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.262487,-123.114397
4,Mount Pleasant Park,5.0,3161 Ontario Street,49.262487,-123.114397
5,Uno Gelato,4.5,601 Stamps Landing,49.262487,-123.114397
6,Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.262487,-123.114397
7,Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.262487,-123.114397
8,Lumiere Cafe,4.5,521 West Broadway,49.262487,-123.114397
9,Honolulu Coffee,4.5,97 West 2nd Avenue,49.262487,-123.114397
10,Rolling Cashew,4.5,401 Industrial Avenue,49.262487,-123.114397
11,Hot Cha Cafe,4.5,3306 Cambie Street,49.262487,-123.114397
12,Cilantro Indian Cuisine,4.5,189 W Broadway,49.262487,-123.114397
13,Superbaba,4.5,2419 Main St,49.262487,-123.114397
14,Deja Brew,4.5,943 W Broadway,49.262487,-123.114397
15,The Mighty Oak,4.5,198 W 18th Avenue,49.262487,-123.114397
16,Suyo Modern Peruvian,4.5,3475 Main Street,49.262487,-123.114397
17,River's Sushi,5.0,678 W Broadway,49.262487,-123.114397
18,Frostbites Shave Ice,5.0,,49.262487,-123.114397
19,Farm Ventures,5.0,713 Sullivan Road,49.262487,-123.114397
20,Grab N Go,5.0,1207 Hamilton Street,49.274566,-123.121817
21,Parker Rooftop,5.0,1379 Howe Street,49.274566,-123.121817
22,Okeya Kyujiro,5.0,1038 Mainland Street,49.274566,-123.121817
23,Sake Dining Hashigo,5.0,1265 Granville St,49.274566,-123.121817
24,Cardero Cafe,5.0,1105 Davie St,49.274566,-123.121817
25,inBtwn Cafe,5.0,1625 Hornby Street,49.274566,-123.121817
26,Manoush'eh,5.0,620 Davie Street,49.274566,-123.121817
27,The Magnet,5.0,309 W Pender Street,49.274566,-123.121817
28,Number E Food,5.0,1308 Burrard Street,49.274566,-123.121817
29,Social Crust,5.0,335 W Pender St,49.274566,-123.121817
30,Rainbow Park,5.0,872 Richards Street,49.274566,-123.121817
31,George Wainborn Park,5.0,450 Beach Crescent,49.274566,-123.121817
32,Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.274566,-123.121817
33,Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.274566,-123.121817
34,Keto Caveman Davie,5.0,1230 Davie Street,49.274566,-123.121817
35,7 Days Coffee,5.0,920 Beatty Street,49.274566,-123.121817
36,Smithe Salad,4.5,191 Smithe Street,49.274566,-123.121817
37,Incognito Coffee,4.5,843 Seymour Street,49.274566,-123.121817
38,Uno Gelato,4.5,601 Stamps Landing,49.274566,-123.121817
39,Passione Gelato,4.5,55 Smithe Street,49.274566,-123.121817
40,Grab N Go,5.0,1207 Hamilton Street,49.279764,-123.110154
41,Marine Building,5.0,355 Burrard St,49.279764,-123.110154
42,Okeya Kyujiro,5.0,1038 Mainland Street,49.279764,-123.110154
43,The Magnet,5.0,309 W Pender Street,49.279764,-123.110154
44,Sooda Korean BBQ,5.0,60 West Cordova Street,49.279764,-123.110154
45,Robba Da Matti,5.0,12 Powell St,49.279764,-123.110154
46,Social Crust,5.0,335 W Pender St,49.279764,-123.110154
47,Rainbow Park,5.0,872 Richards Street,49.279764,-123.110154
48,West Hotel & Bar,5.0,488 Carrall St,49.279764,-123.110154
49,Say Hello Sweets,5.0,620 Quebec Street,49.279764,-123.110154
50,7 Days Coffee,5.0,920 Beatty Street,49.279764,-123.110154
51,Smithe Salad,4.5,191 Smithe Street,49.279764,-123.110154
