latitude,longitude,free_bikes
49.262487,-123.114397,25
49.274566,-123.121817,11
49.279764,-123.110154,13
49.260599,-123.113504,3
49.264215,-123.117772,5
49.270877,-123.115103,4
49.26893,-123.11813,4
49.271721,-123.104207,3
49.287214,-123.11287,23
49.282409,-123.118541,2
49.287097,-123.118551,18
49.273471,-123.118016,17
49.282758,-123.122092,11
49.28602,-123.116624,2
49.279739,-123.116251,14
49.277483,-123.114279,0
49.275679,-123.116963,10
49.282759,-123.106955,10
49.288444,-123.139203,18
49.289124,-123.12196,10
49.28062,-123.12482,0
49.279938,-123.127478,2
49.273663,-123.127075,9
49.28972,-123.144028,12
49.285253,-123.134356,7
49.283343,-123.131099,4
49.284605,-123.108662,28
49.279821,-123.10802,12
49.278004,-123.105664,13
49.279342,-123.101822,9
49.273833,-123.114373,17
49.28526,-123.141809,21
49.281506,-123.120101,4
49.276115,-123.114496,12
49.272827,-123.147744,9
49.269361,-123.13782,8
49.2653,-123.13811,6
49.262598,-123.138921,3
49.25894,-123.139272,2
49.258763,-123.115392,7
49.266723999999996,-123.104824,5
49.262141,-123.101961,9
49.268269,-123.147885,15
49.275717,-123.142564,15
49.276436,-123.11877,5
49.277844,-123.120942,7
49.265089,-123.119425,6
49.28026,-123.135244,12
49.291909,-123.140713,8
49.293257,-123.138563,8
49.288011,-123.132006,16
49.28117,-123.104419,15
49.283227,-123.120523,8
49.299292,-123.130281,6
49.29534,-123.150433,4
49.294318,-123.148808,12
49.298657,-123.121176,9
49.259183,-123.120126,8
49.263837,-123.105173,11
49.270721,-123.146175,19
49.265605,-123.152566,1
49.267222,-123.153157,1
49.262255,-123.126217,16
49.257654,-123.153212,10
49.25919,-123.148268,0
49.25741,-123.148531,2
49.285953,-123.124066,7
49.280881,-123.130672,0
49.256845,-123.120071,7
49.25849,-123.104799,5
49.258425,-123.100792,6
49.270905,-123.126006,4
49.273568,-123.129935,14
49.277141,-123.122589,1
49.267859,-123.145782,15
49.265336,-123.145823,15
49.267628,-123.127698,13
49.275938,-123.145939,6
49.2756,-123.102661,18
49.284157,-123.099917,16
49.258924,-123.152591,9
49.266774,-123.141135,10
49.273355,-123.154493,14
49.276144,-123.151272,11
49.268339,-123.157443,5
49.284062,-123.095097,9
49.261742,-123.13148,0
49.262206,-123.109091,1
49.27023,-123.10651,14
49.262062,-123.104656,8
49.27033,-123.10275,13
49.258902,-123.109596,7
49.282224,-123.132778,2
49.265071,-123.123864,4
49.265198,-123.131043,8
49.273691,-123.102232,15
49.2685027,-123.0975014,10
49.288682,-123.11818,8
49.271741,-123.155421,16
49.262822,-123.14338,16
49.263635,-123.099236,3
49.28763,-123.127245,4
49.297933,-123.130758,15
49.258819,-123.131317,1
49.280284,-123.097052,6
49.276294,-123.106534,9
49.277468999999996,-123.081315,10
49.277665,-123.073653,21
49.277436,-123.070427,4
49.280332,-123.070068,8
49.279369,-123.091241,10
49.283992,-123.091206,9
49.274881,-123.069323,5
49.275882,-123.071865,3
49.273777,-123.092723,11
49.265005,-123.079481,16
49.271377,-123.069416,2
49.268616,-123.069908,10
49.266969,-123.069936,6
49.263242,-123.070521,10
49.261403,-123.070102,3
49.261263,-123.073707,7
49.262242,-123.081459,3
49.262321,-123.09306,1
49.264251,-123.073853,8
49.266751,-123.073501,13
