latitude,longitude,free_bikes,names,ratings,locations,distances,price,popularity,total_photos,total_ratings
49.262487,-123.114397,25,La Taqueria Pinche Taco Shop,8.5,"2450 Yukon St (at W Broadway), Vancouver BC V5Y 0A4",164,2.0,0.9206048073457154,283.0,366.0
49.262487,-123.114397,25,Whole Foods,8.5,"510 8th Ave W (at Cambie St), Vancouver BC V5Z 1C5",182,3.0,0.9968507522149076,431.0,364.0
49.262487,-123.114397,25,Elysian Coffee Broadway,8.2,"590 Broadway W (at Ash St), Vancouver BC V5Z 1E9",225,1.0,0.9569918992240708,171.0,199.0
49.262487,-123.114397,25,Menchies Frozen Yogurt,8.2,"2315 Cambie St (at W 7th Ave), Vancouver BC V5Z 2T9",258,1.0,0.9200166948075356,225.0,69.0
49.262487,-123.114397,25,Cactus Club Cafe Broadway + Ash,7.6,"575 West Broadway (at Ash St), Vancouver BC V5Z 1E6",232,3.0,0.983096507370378,107.0,96.0
49.262487,-123.114397,25,Caffe Cittadella,8.6,"2310 Ash St (at W 7th Ave), Vancouver BC V5Z 3C2",336,2.0,0.954620477699152,137.0,81.0
49.262487,-123.114397,25,Indian Roti Kitchen,8.4,"2961 Cambie St, Vancouver BC V5Z 2V7",396,2.0,0.9053897668418356,4.0,33.0
49.262487,-123.114397,25,Milano Coffee,8.8,"156 8th Ave W (btwn Columbia & Manitoba St), Vancouver BC V5Y 1N2",430,2.0,0.976665212194798,139.0,123.0
49.262487,-123.114397,25,Passion8 Dessert Cafe,8.0,"3010 Cambie St, Vancouver BC V5Z 2V9",454,1.0,0.9468611864696174,28.0,32.0
49.262487,-123.114397,25,The Beaumont Studios,8.2,"316W 5th Ave W (near Alberta St), Vancouver BC V5Y 1J5",509,,0.9728329950105292,35.0,20.0
49.274566,-123.121817,11,Mister,8.8,"1141 Mainland St (btwn Davie & Helmcken), Vancouver BC V6B 5P2",66,1.0,0.9652444461307886,109.0,85.0
49.274566,-123.121817,11,The Flying Pig Yaletown,8.8,"1168 Hamilton St (btwn Davie & Helmcken St), Vancouver BC V6B 2S2",83,3.0,0.9588510936996072,372.0,381.0
49.274566,-123.121817,11,Minami Restaurant,9.0,"1118 Mainland St (at Helmcken St.), Vancouver BC V6B 2T9",110,3.0,0.9346246514010358,569.0,326.0
49.274566,-123.121817,11,Rodney's Oyster House,8.7,"1228 Hamilton St (at Drake St), Vancouver BC V6B 6L2",114,2.0,0.958509609000019,463.0,291.0
49.274566,-123.121817,11,Blue Water Cafe + Raw Bar,9.1,"1095 Hamilton St (at Helmcken St), Vancouver BC V6B 5T4",185,4.0,0.9664775853237464,381.0,317.0
49.274566,-123.121817,11,Angus T,8.9,"1036 Mainland St, Vancouver BC V6B 2T4",208,1.0,0.9421373147919788,52.0,26.0
49.274566,-123.121817,11,Small Victory Bakery,8.9,"1088 Homer St (btwn Helmcken & Nelson), Vancouver BC V6B 2W9",219,1.0,0.9844624461687314,215.0,268.0
49.274566,-123.121817,11,La Terrazza,8.9,"1088 Cambie St (at Pacific Blvd.), Vancouver BC V6B 6J5",222,4.0,0.9513574016808636,29.0,34.0
49.274566,-123.121817,11,OEB Breakfast Co,8.2,"1137 Marinaside Cres, Vancouver BC V6Z 2Y3",234,1.0,0.9687351786154692,94.0,44.0
49.274566,-123.121817,11,David Lam Park,9.3,"1300 Pacific Blvd, Vancouver BC V6Z 0A9",276,,0.9986909753182448,656.0,194.0
49.279764,-123.110154,13,Chambar,8.9,"562 Beatty St (btwn W Pender & Dunsmuir), Vancouver BC V6B 2L3",18,3.0,0.9914439111380926,549.0,518.0
49.279764,-123.110154,13,Jam Cafe,8.8,"556 Beatty St, Vancouver BC V6B 2L3",74,1.0,0.9689818064540608,269.0,147.0
49.279764,-123.110154,13,Queen Elizabeth Theatre,9.0,"600 Block Hamilton St (at W Georgia St), Vancouver BC V6B 2P1",193,,0.995086414600368,841.0,253.0
49.279764,-123.110154,13,Rogers Arena,8.6,"800 Griffiths Way at Expo Blvd (at Abbott St), Vancouver BC V6B 6G1",229,,0.9976285784750812,4522.0,1270.0
49.279764,-123.110154,13,The Magnet,8.5,"309 Pender St W, Vancouver BC V6B 1T3",299,,0.9621900552066932,69.0,15.0
49.279764,-123.110154,13,Meat & Bread,9.2,"370 Cambie St (btwn Cordova & Hastings), Vancouver BC V6B 2N3",323,2.0,0.9347195082620324,660.0,608.0
49.279764,-123.110154,13,Nemesis Coffee,8.7,"302 W Hastings St (Hamilton), Vancouver BC V6B 0P7",314,1.0,0.9729088804993266,225.0,141.0
49.279764,-123.110154,13,Fanny Bay Oyster Bar & Shellfish Market,9.0,"762 Cambie St, Vancouver BC V6B 2P2",334,4.0,0.9729657946159246,162.0,60.0
49.279764,-123.110154,13,Finch's Tea & Coffee House,9.0,"353 Pender St W (at Homer St), Vancouver BC V6B 1T3",353,2.0,0.9556259604257176,208.0,179.0
49.279764,-123.110154,13,Black Rice Izakaya,8.5,"782 Cambie St (Robson), Vancouver BC V6B 2P2",342,,0.9254614786287492,64.0,71.0
49.260599,-123.113504,3,Indian Roti Kitchen,8.4,"2961 Cambie St, Vancouver BC V5Z 2V7",216,2.0,0.9053897668418356,4.0,33.0
