names,ratings,locations,latitude,longitude
The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.262487,-123.114397
WA-2!,5.0,1795 Powell Street,49.262487,-123.114397
La Taqueria Food Truck,5.0,,49.262487,-123.114397
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.262487,-123.114397
Mount Pleasant Park,5.0,3161 Ontario Street,49.262487,-123.114397
Uno Gelato,4.5,601 Stamps Landing,49.262487,-123.114397
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.262487,-123.114397
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.262487,-123.114397
Lumiere Cafe,4.5,521 West Broadway,49.262487,-123.114397
Honolulu Coffee,4.5,97 West 2nd Avenue,49.262487,-123.114397
Rolling Cashew,4.5,401 Industrial Avenue,49.262487,-123.114397
Hot Cha Cafe,4.5,3306 Cambie Street,49.262487,-123.114397
Cilantro Indian Cuisine,4.5,189 W Broadway,49.262487,-123.114397
Superbaba,4.5,2419 Main St,49.262487,-123.114397
Deja Brew,4.5,943 W Broadway,49.262487,-123.114397
The Mighty Oak,4.5,198 W 18th Avenue,49.262487,-123.114397
Suyo Modern Peruvian,4.5,3475 Main Street,49.262487,-123.114397
River's Sushi,5.0,678 W Broadway,49.262487,-123.114397
Frostbites Shave Ice,5.0,,49.262487,-123.114397
Farm Ventures,5.0,713 Sullivan Road,49.262487,-123.114397
Grab N Go,5.0,1207 Hamilton Street,49.274566,-123.121817
Parker Rooftop,5.0,1379 Howe Street,49.274566,-123.121817
Okeya Kyujiro,5.0,1038 Mainland Street,49.274566,-123.121817
Sake Dining Hashigo,5.0,1265 Granville St,49.274566,-123.121817
Cardero Cafe,5.0,1105 Davie St,49.274566,-123.121817
inBtwn Cafe,5.0,1625 Hornby Street,49.274566,-123.121817
Manoush'eh,5.0,620 Davie Street,49.274566,-123.121817
The Magnet,5.0,309 W Pender Street,49.274566,-123.121817
Number E Food,5.0,1308 Burrard Street,49.274566,-123.121817
Social Crust,5.0,335 W Pender St,49.274566,-123.121817
Rainbow Park,5.0,872 Richards Street,49.274566,-123.121817
George Wainborn Park,5.0,450 Beach Crescent,49.274566,-123.121817
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.274566,-123.121817
Trees Cheesecake & Organic Coffee,5.0,130-1160 Davie Street,49.274566,-123.121817
Keto Caveman Davie,5.0,1230 Davie Street,49.274566,-123.121817
7 Days Coffee,5.0,920 Beatty Street,49.274566,-123.121817
Smithe Salad,4.5,191 Smithe Street,49.274566,-123.121817
Incognito Coffee,4.5,843 Seymour Street,49.274566,-123.121817
Uno Gelato,4.5,601 Stamps Landing,49.274566,-123.121817
Passione Gelato,4.5,55 Smithe Street,49.274566,-123.121817
Grab N Go,5.0,1207 Hamilton Street,49.279764,-123.110154
Marine Building,5.0,355 Burrard St,49.279764,-123.110154
Okeya Kyujiro,5.0,1038 Mainland Street,49.279764,-123.110154
The Magnet,5.0,309 W Pender Street,49.279764,-123.110154
Sooda Korean BBQ,5.0,60 West Cordova Street,49.279764,-123.110154
Robba Da Matti,5.0,12 Powell St,49.279764,-123.110154
Social Crust,5.0,335 W Pender St,49.279764,-123.110154
Rainbow Park,5.0,872 Richards Street,49.279764,-123.110154
West Hotel & Bar,5.0,488 Carrall St,49.279764,-123.110154
Say Hello Sweets,5.0,620 Quebec Street,49.279764,-123.110154
7 Days Coffee,5.0,920 Beatty Street,49.279764,-123.110154
Smithe Salad,4.5,191 Smithe Street,49.279764,-123.110154
Incognito Coffee,4.5,843 Seymour Street,49.279764,-123.110154
Passione Gelato,4.5,55 Smithe Street,49.279764,-123.110154
VAN CHA,4.5,433 Hornby Street,49.279764,-123.110154
Le Parfait,4.5,812 Homer Street,49.279764,-123.110154
Tekkaba,4.5,68 E Cordova Street,49.279764,-123.110154
Ignite Pizzeria,4.5,987 Mainland Street,49.279764,-123.110154
Sweet Spot,4.5,1178 Marinaside Crescent,49.279764,-123.110154
Hoduya,4.5,86 Keefer Place,49.279764,-123.110154
The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.260599,-123.113504
WA-2!,5.0,1795 Powell Street,49.260599,-123.113504
La Taqueria Food Truck,5.0,,49.260599,-123.113504
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.260599,-123.113504
Mount Pleasant Park,5.0,3161 Ontario Street,49.260599,-123.113504
Uno Gelato,4.5,601 Stamps Landing,49.260599,-123.113504
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.260599,-123.113504
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.260599,-123.113504
Lumiere Cafe,4.5,521 West Broadway,49.260599,-123.113504
Honolulu Coffee,4.5,97 West 2nd Avenue,49.260599,-123.113504
Rolling Cashew,4.5,401 Industrial Avenue,49.260599,-123.113504
Hot Cha Cafe,4.5,3306 Cambie Street,49.260599,-123.113504
Cilantro Indian Cuisine,4.5,189 W Broadway,49.260599,-123.113504
Superbaba,4.5,2419 Main St,49.260599,-123.113504
Deja Brew,4.5,943 W Broadway,49.260599,-123.113504
The Mighty Oak,4.5,198 W 18th Avenue,49.260599,-123.113504
Suyo Modern Peruvian,4.5,3475 Main Street,49.260599,-123.113504
River's Sushi,5.0,678 W Broadway,49.260599,-123.113504
Paper Cone Desserts,4.5,3623 Main Street,49.260599,-123.113504
Frostbites Shave Ice,5.0,,49.260599,-123.113504
The Golden Horn Turkish Bakery & Cafe,5.0,2857 Cambie Street,49.264215,-123.117772
WA-2!,5.0,1795 Powell Street,49.264215,-123.117772
George Wainborn Park,5.0,450 Beach Crescent,49.264215,-123.117772
La Taqueria Food Truck,5.0,,49.264215,-123.117772
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.264215,-123.117772
Mount Pleasant Park,5.0,3161 Ontario Street,49.264215,-123.117772
Uno Gelato,4.5,601 Stamps Landing,49.264215,-123.117772
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.264215,-123.117772
Sweet Spot,4.5,1178 Marinaside Crescent,49.264215,-123.117772
Lumiere Cafe,4.5,521 West Broadway,49.264215,-123.117772
Honolulu Coffee,4.5,97 West 2nd Avenue,49.264215,-123.117772
Rolling Cashew,4.5,401 Industrial Avenue,49.264215,-123.117772
Hot Cha Cafe,4.5,3306 Cambie Street,49.264215,-123.117772
Saucin Staples,4.5,1073 W Broadway,49.264215,-123.117772
Cilantro Indian Cuisine,4.5,189 W Broadway,49.264215,-123.117772
Deja Brew,4.5,943 W Broadway,49.264215,-123.117772
David Lam Park,4.5,1300 Pacific Blvd,49.264215,-123.117772
River's Sushi,5.0,678 W Broadway,49.264215,-123.117772
Frostbites Shave Ice,5.0,,49.264215,-123.117772
Farm Ventures,5.0,713 Sullivan Road,49.264215,-123.117772
Grab N Go,5.0,1207 Hamilton Street,49.270877,-123.115103
Okeya Kyujiro,5.0,1038 Mainland Street,49.270877,-123.115103
Sake Dining Hashigo,5.0,1265 Granville St,49.270877,-123.115103
WA-2!,5.0,1795 Powell Street,49.270877,-123.115103
Manoush'eh,5.0,620 Davie Street,49.270877,-123.115103
Rainbow Park,5.0,872 Richards Street,49.270877,-123.115103
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.270877,-123.115103
Say Hello Sweets,5.0,620 Quebec Street,49.270877,-123.115103
7 Days Coffee,5.0,920 Beatty Street,49.270877,-123.115103
Smithe Salad,4.5,191 Smithe Street,49.270877,-123.115103
Uno Gelato,4.5,601 Stamps Landing,49.270877,-123.115103
Passione Gelato,4.5,55 Smithe Street,49.270877,-123.115103
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.270877,-123.115103
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.270877,-123.115103
Le Parfait,4.5,812 Homer Street,49.270877,-123.115103
Ignite Pizzeria,4.5,987 Mainland Street,49.270877,-123.115103
Sweet Spot,4.5,1178 Marinaside Crescent,49.270877,-123.115103
Hoduya,4.5,86 Keefer Place,49.270877,-123.115103
Lumiere Cafe,4.5,521 West Broadway,49.270877,-123.115103
Obanhmi,4.5,1239 Pacific Boulevard,49.270877,-123.115103
Grab N Go,5.0,1207 Hamilton Street,49.26893,-123.11813
Parker Rooftop,5.0,1379 Howe Street,49.26893,-123.11813
Okeya Kyujiro,5.0,1038 Mainland Street,49.26893,-123.11813
Sake Dining Hashigo,5.0,1265 Granville St,49.26893,-123.11813
WA-2!,5.0,1795 Powell Street,49.26893,-123.11813
Manoush'eh,5.0,620 Davie Street,49.26893,-123.11813
Number E Food,5.0,1308 Burrard Street,49.26893,-123.11813
George Wainborn Park,5.0,450 Beach Crescent,49.26893,-123.11813
La Taqueria Food Truck,5.0,,49.26893,-123.11813
Convivial Cafe and Bakery,5.0,680A Leg In Boot Square,49.26893,-123.11813
7 Days Coffee,5.0,920 Beatty Street,49.26893,-123.11813
Smithe Salad,4.5,191 Smithe Street,49.26893,-123.11813
Uno Gelato,4.5,601 Stamps Landing,49.26893,-123.11813
Passione Gelato,4.5,55 Smithe Street,49.26893,-123.11813
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.26893,-123.11813
Ignite Pizzeria,4.5,987 Mainland Street,49.26893,-123.11813
Sweet Spot,4.5,1178 Marinaside Crescent,49.26893,-123.11813
Lumiere Cafe,4.5,521 West Broadway,49.26893,-123.11813
Obanhmi,4.5,1239 Pacific Boulevard,49.26893,-123.11813
Honolulu Coffee,4.5,97 West 2nd Avenue,49.26893,-123.11813
Johnny's Pops,5.0,,49.271721,-123.104207
WA-2!,5.0,1795 Powell Street,49.271721,-123.104207
Cookies of Course,5.0,,49.271721,-123.104207
Say Hello Sweets,5.0,620 Quebec Street,49.271721,-123.104207
7 Days Coffee,5.0,920 Beatty Street,49.271721,-123.104207
Smithe Salad,4.5,191 Smithe Street,49.271721,-123.104207
Passione Gelato,4.5,55 Smithe Street,49.271721,-123.104207
Blaze Gourmet Burgers,4.5,43 E 5th Avenue,49.271721,-123.104207
Pizzamia Gourmet Pizza Bar,4.5,407 W Broadway,49.271721,-123.104207
Le Parfait,4.5,812 Homer Street,49.271721,-123.104207
Hoduya,4.5,86 Keefer Place,49.271721,-123.104207
Le Petit Belge,4.5,1007 Main Street,49.271721,-123.104207
